user_loc,fr_loc,distance
AL01,EL30,560.0974495740243
AL01,EL41,652.4752376712524
AL01,EL42,855.0087712499744
AL01,EL43,856.1279259685772
AL01,EL51,443.9283296446627
AL01,EL52,291.9239298052101
AL01,EL53,218.93830444616935
AL01,EL54,270.22190003674194
AL01,EL61,335.0707782971014
AL01,EL62,327.358999166706
AL01,EL63,438.20174416801075
AL01,EL64,453.61463746623144
AL01,EL65,542.8615727040292
AL01,ES11,2311.125358060391
AL01,ES12,2121.7852806750398
AL01,ES13,1966.8907899300782
AL01,ES21,1849.5471078861656
AL01,ES22,1771.8090208650299
AL01,ES23,1846.2488666752245
AL01,ES24,1723.3242067864026
AL01,ES30,1980.7943506684983
AL01,ES41,2057.534123342591
AL01,ES42,1970.562651307839
AL01,ES43,2222.3268333681795
AL01,ES51,1496.328181667148
AL01,ES52,1762.0561679846726
AL01,ES53,1462.109365602743
AL01,ES61,2173.5152700336134
AL01,ES62,1870.7383036120377
AL01,ES63,2277.3425381936654
AL01,ES64,2111.453861112025
AL01,ES70,3565.282566274947
AL01,FI19,2272.2390538594364
AL01,FI1B,2085.5668380195793
AL01,FI1C,2139.5965651377305
AL01,FI1D,2542.797011049659
AL01,FI20,2040.2392009397734
AL01,FR10,1571.6130383142802
AL01,FRB0,1577.7857943570418
AL01,FRC1,1373.4889804879733
AL01,FRC2,1236.9314123216564
AL01,FRD1,1778.2078687877765
AL01,FRD2,1687.8090182098617
AL01,FRE1,1616.294094734981
AL01,FRE2,1585.4453084441257
AL01,FRF1,1213.4356684797967
AL01,FRF2,1433.4484081227447
AL01,FRF3,1311.5533240746504
AL01,FRG0,1762.2622245234534
AL01,FRH0,1911.025918241959
AL01,FRI1,1670.5560321470136
AL01,FRI2,1530.4128214999823
AL01,FRI3,1669.433560937661
AL01,FRJ1,1369.6548823691337
AL01,FRJ2,1524.6460486757192
AL01,FRK1,1406.2870413228643
AL01,FRK2,1253.7209265304193
AL01,FRL0,1166.493168951753
AL01,FRM0,894.8899402073158
AL01,FRY1,8123.395735670679
AL01,FRY2,8187.1896224008015
AL01,FRY3,8324.219323813033
AL01,FRY4,7881.106296812096
AL01,FRY5,6589.646562909815
AL01,HR03,429.8979147436362
AL01,HR04,503.1897102815785
AL01,HU11,626.2045252556945
AL01,HU12,619.6044718646108
AL01,HU21,617.1761321043404
AL01,HU22,640.950260694499
AL01,HU23,514.753101711761
AL01,HU31,692.5414642696165
AL01,HU32,651.9647006339443
AL01,HU33,524.9020070423131
AL01,IE04,2489.600337213019
AL01,IE05,2423.1372105222295
AL01,IE06,2341.520724699729
AL01,IS00,3586.488769806727
