freq,unit,direct,na_item,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR_HAB,BAL,B5N,CZ03	: 	: 	: 	: 	: 	3900 	4400 	5000 	5200 	5500 	6200 	6900 	7500 	8800 	8100 	8400 	8700 	8700 	8500 	8300 	8800 	9200 	10300 	11200 	12000 	11700 	12800 	14500 
A,EUR_HAB,BAL,B5N,CZ04	: 	: 	: 	: 	: 	3700 	4100 	4600 	4700 	5000 	5600 	6200 	6600 	7700 	7300 	7600 	8000 	7600 	7500 	7200 	7600 	8300 	9200 	10300 	11000 	10900 	11500 	13300 
A,EUR_HAB,BAL,B5N,CZ05	: 	: 	: 	: 	: 	3700 	4200 	4900 	4900 	5200 	5900 	6600 	7100 	8200 	7600 	7900 	8300 	8300 	8100 	8100 	8500 	9000 	9900 	11100 	11800 	11400 	12200 	13800 
A,EUR_HAB,BAL,B5N,CZ06	: 	: 	: 	: 	: 	3500 	4100 	4700 	4800 	5200 	5900 	6500 	7200 	8400 	7800 	8300 	8600 	8600 	8600 	8400 	8900 	9300 	10300 	11400 	12300 	11900 	12900 	14700 
A,EUR_HAB,BAL,B5N,CZ07	: 	: 	: 	: 	: 	3500 	4000 	4600 	4800 	5000 	5600 	6400 	7000 	8000 	7300 	7500 	8100 	8100 	7800 	7700 	8200 	8500 	9400 	10500 	11100 	10800 	11800 	13300 
A,EUR_HAB,BAL,B5N,CZ08	: 	: 	: 	: 	: 	3500 	3900 	4500 	4500 	4800 	5600 	6100 	6600 	8000 	7400 	7700 	8200 	8000 	7700 	7600 	7900 	8400 	9300 	10400 	10900 	10700 	11500 	13300 
A,EUR_HAB,BAL,B5N,DE	: 	: 	: 	: 	: 	18800 	19300 	19100 	19500 	19700 	20000 	20800 	21400 	22300 	21900 	22400 	23500 	24100 b	24500 	25100 	25700 	26400 	27400 	28500 	29100 	28700 p	29700 p	: 
A,EUR_HAB,BAL,B5N,DE1	: 	: 	: 	: 	: 	21600 	22300 	22100 	22500 	22700 	23200 	24300 	25000 	26000 	25000 	25800 	27000 	27900 b	28400 	29100 	29500 	30300 	31600 e	32500 e	33000 e	32100 e	33200 e	: 
A,EUR_HAB,BAL,B5N,DE11	: 	: 	: 	: 	: 	22900 	23600 	23400 	23800 	23900 	24500 	25700 	26500 	27400 	26400 	27100 	28400 	29300 b	29800 	30500 	30900 	31900 	33300 e	34000 e	34500 e	33600 e	34800 e	: 
A,EUR_HAB,BAL,B5N,DE12	: 	: 	: 	: 	: 	21500 	22200 	21900 	22300 	22300 	22900 	24000 	24700 	25600 	24600 	25200 	26400 	27200 b	27600 	28100 	28500 	29200 	30200 e	31500 e	31900 e	31200 e	32300 e	: 
A,EUR_HAB,BAL,B5N,DE13	: 	: 	: 	: 	: 	20000 	20700 	20500 	21100 	21300 	21700 	22600 	23200 	24200 	23500 	24400 	25700 	26500 b	27000 	27800 	28500 	29300 	30300 e	31300 e	31600 e	30700 e	31700 e	: 
A,EUR_HAB,BAL,B5N,DE14	: 	: 	: 	: 	: 	20900 	21700 	21500 	21900 	22000 	22600 	23700 	24500 	25400 	24500 	25300 	26600 	27500 b	28000 	29000 	29200 	29800 	31200 e	32300 e	32700 e	31700 e	32700 e	: 
A,EUR_HAB,BAL,B5N,DE2	: 	: 	: 	: 	: 	21700 	22400 	22000 	22300 	22600 	23100 	24100 	25100 	25900 	25300 	26000 	27300 	28100 b	28600 	29500 	30100 	31300 	32300 e	33500 e	34200 e	33500 e	34700 e	: 
A,EUR_HAB,BAL,B5N,DE21	: 	: 	: 	: 	: 	26200 	27000 	26400 	26600 	26900 	27600 	28700 	29800 	30600 	29600 	30300 	31600 	32700 b	33200 	34800 	35000 	37100 	37900 e	39500 e	40500 e	39800 e	41300 e	: 
A,EUR_HAB,BAL,B5N,DE22	: 	: 	: 	: 	: 	18100 	18600 	18500 	19000 	19500 	19900 	20800 	21700 	22500 	22000 	22700 	23900 	24900 b	25500 	25900 	26700 	27700 	28700 e	29900 e	30400 e	29600 e	30500 e	: 
A,EUR_HAB,BAL,B5N,DE23	: 	: 	: 	: 	: 	18400 	19100 	18900 	19200 	19500 	19800 	20600 	21500 	22400 	22000 	22700 	23900 	24700 b	25300 	25800 	26800 	27700 	28600 e	29700 e	30300 e	29700 e	30600 e	: 
A,EUR_HAB,BAL,B5N,DE24	: 	: 	: 	: 	: 	18600 	19100 	18800 	19000 	19300 	19600 	20400 	21300 	22200 	21800 	22500 	23800 	24000 b	24600 	24800 	25600 	26300 	27200 e	28000 e	28500 e	28100 e	29000 e	: 
A,EUR_HAB,BAL,B5N,DE25	: 	: 	: 	: 	: 	21200 	21900 	21500 	21800 	22000 	22400 	23400 	24300 	25100 	24600 	25300 	26500 	27000 b	27300 	27800 	28600 	29300 	30400 e	31500 e	31900 e	31300 e	32400 e	: 
A,EUR_HAB,BAL,B5N,DE26	: 	: 	: 	: 	: 	19300 	20000 	19800 	20100 	20400 	20700 	21500 	22300 	23300 	22800 	23500 	24800 	25200 b	25700 	26300 	27000 	27600 	28800 e	29700 e	30100 e	29500 e	30500 e	: 
A,EUR_HAB,BAL,B5N,DE27	: 	: 	: 	: 	: 	20000 	20600 	20300 	20700 	21100 	21500 	22400 	23300 	24200 	23700 	24400 	25700 	26400 b	26900 	27400 	28100 	28800 	30000 e	31100 e	31400 e	30700 e	31600 e	: 
A,EUR_HAB,BAL,B5N,DE3	: 	: 	: 	: 	: 	17600 	17600 	17300 	16900 	17400 	17300 	18000 	18300 	19000 	19200 	19600 	20500 	20800 b	21200 	21600 	22600 	23100 	24400 e	25500 e	26400 e	26500 e	27900 e	: 
A,EUR_HAB,BAL,B5N,DE30	: 	: 	: 	: 	: 	17600 	17600 	17300 	16900 	17400 	17300 	18000 	18300 	19000 	19200 	19600 	20500 	20800 b	21200 	21600 	22600 	23100 	24400 e	25500 e	26400 e	26500 e	27900 e	: 
A,EUR_HAB,BAL,B5N,DE4	: 	: 	: 	: 	: 	13900 	14300 	14500 	14700 	15000 	15300 	15900 	16700 	17500 	17800 	18100 	19000 	19200 b	19700 	20100 	20500 	21100 	22300 e	23200 e	24000 e	24100 e	24900 e	: 
A,EUR_HAB,BAL,B5N,DE40	: 	: 	: 	: 	: 	13900 	14300 	14500 	14700 	15000 	15300 	15900 	16700 	17500 	17800 	18100 	19000 	19200 b	19700 	20100 	20500 	21100 	22300 e	23200 e	24000 e	24100 e	24900 e	: 
A,EUR_HAB,BAL,B5N,DE5	: 	: 	: 	: 	: 	18100 	18600 	18200 	18300 	17800 	19000 	19600 	20400 	21800 	20900 	20800 	21500 	22300 b	22600 	22900 	23100 	23600 	24600 e	25700 e	26200 e	25700 e	26700 e	: 
A,EUR_HAB,BAL,B5N,DE50	: 	: 	: 	: 	: 	18100 	18600 	18200 	18300 	17800 	19000 	19600 	20400 	21800 	20900 	20800 	21500 	22300 b	22600 	22900 	23100 	23600 	24600 e	25700 e	26200 e	25700 e	26700 e	: 
A,EUR_HAB,BAL,B5N,DE6	: 	: 	: 	: 	: 	22500 	23100 	22800 	24200 	23400 	25100 	25900 	26300 	27000 	26100 	26400 	27600 	28300 b	29200 	29100 	30000 	31500 	32000 e	33400 e	34200 e	33800 e	35200 e	: 
A,EUR_HAB,BAL,B5N,DE60	: 	: 	: 	: 	: 	22500 	23100 	22800 	24200 	23400 	25100 	25900 	26300 	27000 	26100 	26400 	27600 	28300 b	29200 	29100 	30000 	31500 	32000 e	33400 e	34200 e	33800 e	35200 e	: 
A,EUR_HAB,BAL,B5N,DE7	: 	: 	: 	: 	: 	21100 	21800 	21600 	21800 	21800 	22100 	23100 	23800 	24500 	24200 	24600 	25600 	26200 b	26500 	27400 	28000 	28700 	29700 e	30500 e	31200 e	30600 e	31700 e	: 
A,EUR_HAB,BAL,B5N,DE71	: 	: 	: 	: 	: 	23600 	24300 	24000 	24100 	24100 	24300 	25400 	26200 	26900 	26400 	26700 	27700 	28300 b	28700 	29600 	30300 	31100 	32100 e	33000 e	33700 e	33100 e	34400 e	: 
A,EUR_HAB,BAL,B5N,DE72	: 	: 	: 	: 	: 	18000 	18600 	18400 	18700 	18900 	19100 	20000 	20600 	21400 	21200 	21600 	22600 	23100 b	23600 	24200 	24700 	25200 	26100 e	26600 e	27200 e	26700 e	27500 e	: 
A,EUR_HAB,BAL,B5N,DE73	: 	: 	: 	: 	: 	16600 	17100 	17100 	17500 	17700 	17800 	18600 	19100 	20000 	19900 	20600 	21500 	22000 b	22300 	23000 	23400 	24100 	24900 e	25700 e	26300 e	25800 e	26700 e	: 
A,EUR_HAB,BAL,B5N,DE8	: 	: 	: 	: 	: 	12600 	13000 	13200 	13200 	13600 	13800 	14300 	14900 	15700 	15800 	16100 	16800 	17300 b	17600 	18000 	18500 	19000 	19900 e	20800 e	21600 e	21700 e	22300 e	: 
A,EUR_HAB,BAL,B5N,DE80	: 	: 	: 	: 	: 	12600 	13000 	13200 	13200 	13600 	13800 	14300 	14900 	15700 	15800 	16100 	16800 	17300 b	17600 	18000 	18500 	19000 	19900 e	20800 e	21600 e	21700 e	22300 e	: 
A,EUR_HAB,BAL,B5N,DE9	: 	: 	: 	: 	: 	17800 	18300 	18000 	18400 	18400 	18600 	19400 	19900 	20600 	20600 	21000 	22100 	22900 b	23300 	23900 	24400 	24900 	25900 e	26900 e	27700 e	27200 e	27800 e	: 
A,EUR_HAB,BAL,B5N,DE91	: 	: 	: 	: 	: 	17600 	17900 	17900 	18200 	18400 	18400 	19100 	19600 	20300 	20300 	20800 	22100 	23200 b	23800 	24500 	25000 	25300 	26000 e	27300 e	28000 e	27800 e	28600 e	: 
A,EUR_HAB,BAL,B5N,DE92	: 	: 	: 	: 	: 	18600 	19000 	18700 	19000 	18900 	19100 	19900 	20300 	21100 	21100 	21400 	22400 	23100 b	23400 	24000 	24500 	25000 	25900 e	26900 e	27500 e	27200 e	27900 e	: 
A,EUR_HAB,BAL,B5N,DE93	: 	: 	: 	: 	: 	18800 	19300 	18900 	19200 	19100 	19400 	20300 	20800 	21600 	21600 	22000 	23000 	23600 b	24100 	24700 	25000 	25700 	26800 e	27800 e	28500 e	28000 e	28600 e	: 
A,EUR_HAB,BAL,B5N,DE94	: 	: 	: 	: 	: 	16700 	17200 	16900 	17300 	17300 	17700 	18600 	19100 	19800 	19900 	20200 	21300 	22000 b	22400 	23000 	23500 	24100 	25200 e	26200 e	27000 e	26300 e	26800 e	: 
